authorID,groupID,author_name,author_order,address,university,department,postal_code,city,state,country,RP_address,RI,OI,UT,refID,PT,PY,PU
50,50,"Fisher, Kaleigh",2,"Univ Calif Riverside, Dept Entomol, Riverside, CA 92521 USA.",univ calif riverside,dept entomol,92521,riverside,ca,usa,NA,JCO-5143-2023,NA,WOS:001064383000001,12,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
51,51,"Gustilo, Erica Sarro",1,"Univ Calif Riverside, Dept Entomol, Riverside, CA 92521 USA.",univ calif riverside,dept entomol,92521,riverside,ca,usa,NA,NA,NA,WOS:001064383000001,12,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
52,18532,"Woodard, S. Hollis",3,"Univ Calif Riverside, Dept Entomol, Riverside, CA 92521 USA.",univ calif riverside,dept entomol,92521,riverside,ca,usa,NA,NA,NA,WOS:001064383000001,12,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
53,53,"Dorfman, Arik",1,"Tel Aviv Univ, George S Wise Fac Life Sci, Sch Zool, Tel Aviv, Israel.",tel aviv univ,george s wise fac life sci,NA,tel aviv,NA,israel,NA,KHZ-5086-2024,0000-0001-9043-8564,WOS:001047373100001,13,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
54,54,"Scharf, Inon",3,"Tel Aviv Univ, George S Wise Fac Life Sci, Sch Zool, Tel Aviv, Israel.",tel aviv univ,george s wise fac life sci,NA,tel aviv,NA,israel,NA,AAF-2343-2020,0000-0002-8506-7161,WOS:001047373100001,13,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
55,32735,"Subach, Aziz",2,"Tel Aviv Univ, George S Wise Fac Life Sci, Sch Zool, Tel Aviv, Israel.",tel aviv univ,george s wise fac life sci,NA,tel aviv,NA,israel,NA,NA,NA,WOS:001047373100001,13,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
56,56,"Bliard, Louis",4,"Univ Zurich, Dept Evolutionary Biol & Environm Studies, Zurich, Switzerland.",univ zurich,dept evolutionary biol & environm studies,NA,zurich,NA,switzerland,NA,ABB-3663-2020,0000-0002-2349-8513,WOS:001023658000001,14,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
57,57,"Blumstein, Daniel T.",1,"Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, Los Angeles, CA 90095 USA.",univ calif los angeles,dept ecol & evolutionary biol,90095,los angeles,ca,usa,NA,B-6199-2012,0000-0001-5793-9244,WOS:001023658000001,14,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
58,58,"Philson, Conner S.",3,"Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, Los Angeles, CA 90095 USA.",univ calif los angeles,dept ecol & evolutionary biol,90095,los angeles,ca,usa,NA,NA,0000-0002-5974-347X,WOS:001023658000001,14,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
59,59,"Sanchez, McKenna",2,"Rocky Mt Biol Labs, Crested Butte, CO 81224 USA.",rocky mt biol labs,NA,81224,crested butte,co,usa,NA,NA,NA,WOS:001023658000001,14,J,2023,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
60,60,"Diego Ibanez-Alamo, Juan",4,"Univ Granada, Fac Ciencias, Dept Zool, Granada, Spain.",univ granada,fac ciencias,NA,granada,NA,spain,NA,H-7624-2019,NA,WOS:000879838100016,15,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
61,61,"Ruiz-Raya, Francisco",2,"Univ Granada, Fac Ciencias, Dept Zool, Granada, Spain.",univ granada,fac ciencias,NA,granada,NA,spain,NA,L-8639-2019,0000-0002-4646-1975,WOS:000879838100016,15,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
62,62,"Sanchez-Perez, Lucia",3,"Univ Granada, Fac Ciencias, Dept Zool, Granada, Spain.",univ granada,fac ciencias,NA,granada,NA,spain,NA,NA,NA,WOS:000879838100016,15,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
63,63,"Soler, Manuel",1,"Univ Granada, Fac Ciencias, Dept Zool, Granada, Spain.",univ granada,fac ciencias,NA,granada,NA,spain,NA,NA,0000-0002-6451-0793,WOS:000879838100016,15,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
64,64,"Breece, Matthew",4,"Univ Delaware, Coll Earth Ocean & Environm, Lewes, DE 19716 USA.",univ delaware,coll earth ocean & environm,19716,lewes,de,usa,NA,NA,NA,WOS:000880079800003,16,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
65,65,"Carlisle, Aaron",5,"Univ Delaware, Coll Earth Ocean & Environm, Lewes, DE 19716 USA.",univ delaware,coll earth ocean & environm,19716,lewes,de,usa,NA,NA,0000-0003-0796-6564,WOS:000880079800003,16,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
66,55428,"Fox, Dewayne",6,"Delaware State Univ, Dept Agr & Nat Resources, Dover, DE USA.",delaware state univ,dept agr & nat resources,NA,dover,de,usa,NA,NA,NA,WOS:000880079800003,16,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
67,67,"Haulsee, Danielle",3,"Stanford Univ, Dept Biol, Pacific Grove, CA USA.",stanford univ,dept biol,NA,pacific grove,ca,usa,NA,W-7513-2019,0000-0003-0691-0278,WOS:000880079800003,16,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
68,68,"Oliver, Matthew",2,"Univ Delaware, Coll Earth Ocean & Environm, Lewes, DE 19716 USA.",univ delaware,coll earth ocean & environm,19716,lewes,de,usa,NA,NA,NA,WOS:000880079800003,16,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
69,69,"Roose, Robert",1,"Univ Delaware, Coll Earth Ocean & Environm, Lewes, DE 19716 USA.",univ delaware,coll earth ocean & environm,19716,lewes,de,usa,NA,NA,NA,WOS:000880079800003,16,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
70,23142,"Driscoll, Isabel",1,"Univ Exeter, Ctr Ecol & Conservat, Penryn, Cornwall, England.",univ exeter,ctr ecol & conservat,NA,penryn,NA,england,NA,NA,NA,WOS:000879838100010,17,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
71,20973,"Manser, Marta",2,"Univ Zurich, Dept Evolutionary Biol & Environm Studies, Zurich, Switzerland.",univ zurich,dept evolutionary biol & environm studies,NA,zurich,NA,switzerland,NA,NA,NA,WOS:000879838100010,17,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
72,8264,"Thornton, Alex",3,"Univ Exeter, Ctr Ecol & Conservat, Penryn, Cornwall, England.",univ exeter,ctr ecol & conservat,NA,penryn,NA,england,NA,NA,NA,WOS:000879838100010,17,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
73,73,"Enns, Joanna",1,"Simon Fraser Univ, Dept Biol Sci, Burnaby, BC, Canada.",simon fraser univ,dept biol sci,NA,burnaby,NA,canada,NA,NA,NA,WOS:000872567500002,18,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
74,74,"Williams, Tony D.",2,"Simon Fraser Univ, Dept Biol Sci, Burnaby, BC, Canada.",simon fraser univ,dept biol sci,NA,burnaby,NA,canada,NA,NA,NA,WOS:000872567500002,18,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
75,75,"Asensio, Norberto",1,"Univ Basque Country, Fac Psychol, Dept Clin & Hlth Psychol & Res Methodol, Donostia San Sebastian, Spain.",univ basque country,fac psychol,NA,donostia san sebastian,NA,spain,NA,I-2526-2017,0000-0003-4536-5073,WOS:000798824000018,19,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
76,76,"Cristobal-Azkarate, Jurgi",4,"Univ Basque Country, Fac Psychol, Dept Basic Psychol Proc & Their Dev, Donostia San Sebastian, Spain.",univ basque country,fac psychol,NA,donostia san sebastian,NA,spain,NA,NA,NA,WOS:000798824000018,19,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
77,77,"Dunn, Jacob C.",3,"Anglia Ruskin Univ, Fac Sci & Technol, Dept Biol, Behav Ecol Res Grp, Cambridge, England.",anglia ruskin univ,fac sci & technol,NA,cambridge,NA,england,NA,NA,0000-0003-3487-6513,WOS:000798824000018,19,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
78,78,"Zandona, Eugenia",2,"Univ Estado Rio de Janeiro, Dept Ecol, Inst Biol Roberto Alcantara Gomes, Rio De Janeiro, Brazil.",univ estado rio de janeiro,dept ecol,NA,rio de janeiro,rj,brazil,NA,GQH-9518-2022,0000-0003-4754-5326,WOS:000798824000018,19,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
79,79,"Mathias, Maria da Luz",5,"Univ Lisbon, CESAM Ctr Estudos Ambiente & Mar, Dept Biol Anim, Fac Ciencias, Lisbon, Portugal.",univ lisbon,cesam ctr estudos ambiente & mar,NA,lisbon,NA,portugal,NA,V-9931-2018,0000-0003-3876-958X,WOS:000798541700003,20,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
80,80,"Oliveira, Flavio G.",2,"Univ Lisbon, CESAM Ctr Estudos Ambiente & Mar, Dept Biol Anim, Fac Ciencias, Lisbon, Portugal.",univ lisbon,cesam ctr estudos ambiente & mar,NA,lisbon,NA,portugal,NA,AAE-8844-2022,0000-0001-5510-7663,WOS:000798541700003,20,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
81,81,"Pustelnik, Anna",4,"Adam Mickiewicz Univ, Inst Environm Biol, Dept Systemat Zool, Poznan, Poland.",adam mickiewicz univ,inst environm biol,NA,poznan,NA,poland,NA,NA,NA,WOS:000798541700003,20,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
82,82,"Rychlik, Leszek",6,"Adam Mickiewicz Univ, Inst Environm Biol, Dept Systemat Zool, Poznan, Poland.",adam mickiewicz univ,inst environm biol,NA,poznan,NA,poland,NA,B-2956-2013,0000-0002-1479-1443,WOS:000798541700003,20,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
83,37495,"Tapisso, Joaquim T.",3,"Univ Lisbon, CESAM Ctr Estudos Ambiente & Mar, Dept Biol Anim, Fac Ciencias, Lisbon, Portugal.",univ lisbon,cesam ctr estudos ambiente & mar,NA,lisbon,NA,portugal,NA,NA,NA,WOS:000798541700003,20,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
84,84,"von Merten, Sophie",1,"Univ Lisbon, CESAM Ctr Estudos Ambiente & Mar, Dept Biol Anim, Fac Ciencias, Lisbon, Portugal.",univ lisbon,cesam ctr estudos ambiente & mar,NA,lisbon,NA,portugal,NA,NA,0000-0001-6010-1127,WOS:000798541700003,20,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
85,85,"Browne, William",2,"Univ Bristol, Sch Educ, Bristol, Gloucestershire, England.",univ bristol,sch educ,NA,bristol,NA,england,NA,A-8686-2010,0000-0002-6659-6885,WOS:000798824000014,21,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
86,2447,"Caplen, Gina",4,"Univ Bristol, Bristol Vet Sch, Langford, England.",univ bristol,bristol vet sch,NA,bristol vet sch,NA,england,NA,NA,NA,WOS:000798824000014,21,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
87,87,"Held, Suzanne",6,"Univ Bristol, Bristol Vet Sch, Langford, England.",univ bristol,bristol vet sch,NA,bristol vet sch,NA,england,NA,GOH-1175-2022,0000-0001-7571-5033,WOS:000798824000014,21,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
88,88,"Mendl, Michael T.",3,"Univ Bristol, Bristol Vet Sch, Langford, England.",univ bristol,bristol vet sch,NA,bristol vet sch,NA,england,NA,D-7220-2016,0000-0002-5302-1871,WOS:000798824000014,21,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
89,89,"Nicol, Christine J.",7,"Royal Vet Coll, Hat field, England.",royal vet coll,NA,NA,NA,NA,england,NA,B-4841-2011,0000-0001-6734-2177,WOS:000798824000014,21,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
90,90,"Paul, Elizabeth S.",1,"Univ Bristol, Bristol Vet Sch, Langford, England.",univ bristol,bristol vet sch,NA,bristol vet sch,NA,england,NA,JGC-8619-2023,NA,WOS:000798824000014,21,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
91,91,"Trevarthen, Anna",5,"Univ Bristol, Bristol Vet Sch, Langford, England.",univ bristol,bristol vet sch,NA,bristol vet sch,NA,england,NA,NA,0000-0001-9575-7150,WOS:000798824000014,21,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
92,92,"Bush, Jordan M.",1,"Univ Tennessee, Dept Ecol & Evolutionary Biol, Knoxville, TN USA.",univ tennessee,dept ecol & evolutionary biol,NA,knoxville,tn,usa,NA,NA,0000-0003-3543-0329,WOS:000798731100008,22,J,2022,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
